dog_id,date,month,breed,age_group,has_drift,drift_active,context,data_missing,missingness_type,sleep_hours,activity_minutes,social_score,nocturnal_restlessness,vocalization_events
DOG_0001,2025-01-01,1,Beagle,senior,False,False,normal,False,,11.58,66.5,6.98,2.76,5.1
DOG_0001,2025-01-02,1,Beagle,senior,False,False,normal,False,,11.55,67.3,6.79,2.74,5.7
DOG_0001,2025-01-03,1,Beagle,senior,False,False,normal,False,,11.73,70.0,6.98,2.71,5.2
DOG_0001,2025-01-04,1,Beagle,senior,False,False,normal,False,,11.58,71.0,6.84,2.72,5.1
DOG_0001,2025-01-05,1,Beagle,senior,False,False,normal,False,,11.84,71.4,6.97,2.59,5.1
DOG_0001,2025-01-06,1,Beagle,senior,False,False,normal,False,,11.45,69.5,6.73,2.69,5.4
DOG_0001,2025-01-07,1,Beagle,senior,False,False,normal,False,,11.81,70.7,6.79,2.54,5.5
DOG_0001,2025-01-08,1,Beagle,senior,False,False,normal,False,,11.86,69.5,6.96,2.71,5.2
DOG_0001,2025-01-09,1,Beagle,senior,False,False,normal,False,,11.65,73.7,6.9,3.01,5.2
DOG_0001,2025-01-10,1,Beagle,senior,False,False,normal,True,sensor_dropout,,,,,
DOG_0001,2025-01-11,1,Beagle,senior,False,False,normal,True,sensor_dropout,,,,,
DOG_0001,2025-01-12,1,Beagle,senior,False,False,normal,False,,11.81,71.1,6.8,2.54,5.2
DOG_0001,2025-01-13,1,Beagle,senior,False,False,normal,False,,11.79,71.9,7.0,2.71,5.4
DOG_0001,2025-01-14,1,Beagle,senior,False,False,normal,False,,11.89,71.4,6.83,2.75,5.3
DOG_0001,2025-01-15,1,Beagle,senior,False,False,normal,False,,11.61,66.4,6.9,2.64,5.3
DOG_0001,2025-01-16,1,Beagle,senior,False,False,normal,False,,11.7,67.5,6.75,2.82,5.3
DOG_0001,2025-01-17,1,Beagle,senior,False,False,normal,False,,11.4,71.2,6.81,2.62,5.3
DOG_0001,2025-01-18,1,Beagle,senior,False,False,normal,False,,11.57,70.3,6.9,2.68,5.4
DOG_0001,2025-01-19,1,Beagle,senior,False,False,normal,False,,11.48,69.6,7.03,2.82,5.5
DOG_0001,2025-01-20,1,Beagle,senior,False,False,normal,False,,11.59,72.7,7.07,2.77,5.3
DOG_0001,2025-01-21,1,Beagle,senior,False,False,normal,False,,11.61,72.0,6.75,2.74,5.3
DOG_0001,2025-01-22,1,Beagle,senior,False,False,normal,False,,11.61,72.0,6.99,2.73,5.5
DOG_0001,2025-01-23,1,Beagle,senior,False,False,normal,False,,12.07,68.5,7.01,2.81,5.2
DOG_0001,2025-01-24,1,Beagle,senior,False,False,boarding,False,,9.43,66.1,4.14,2.76,5.4
DOG_0001,2025-01-25,1,Beagle,senior,False,False,normal,False,,11.47,72.3,6.75,2.61,5.1
DOG_0001,2025-01-26,1,Beagle,senior,False,False,normal,False,,11.73,72.7,6.76,2.7,5.1
DOG_0001,2025-01-27,1,Beagle,senior,False,False,normal,False,,11.54,72.6,6.83,2.8,5.4
DOG_0001,2025-01-28,1,Beagle,senior,False,False,normal,False,,11.44,71.0,6.75,2.78,5.3
DOG_0001,2025-01-29,1,Beagle,senior,False,False,normal,False,,11.64,70.8,6.95,2.64,5.5
DOG_0001,2025-01-30,1,Beagle,senior,False,False,normal,False,,11.52,70.1,6.95,2.69,5.4
DOG_0001,2025-01-31,1,Beagle,senior,False,False,normal,False,,11.95,72.9,6.87,2.77,5.5
DOG_0001,2025-02-01,2,Beagle,senior,False,False,normal,False,,11.81,70.0,6.9,2.71,5.3
DOG_0001,2025-02-02,2,Beagle,senior,False,False,normal,False,,11.81,73.4,6.98,2.7,5.4
DOG_0001,2025-02-03,2,Beagle,senior,False,False,normal,False,,11.69,69.5,6.86,2.63,5.0
DOG_0001,2025-02-04,2,Beagle,senior,False,False,normal,True,sensor_dropout,,,,,
DOG_0001,2025-02-05,2,Beagle,senior,False,False,normal,False,,11.72,69.5,6.82,2.83,5.3
DOG_0001,2025-02-06,2,Beagle,senior,False,False,normal,False,,12.05,74.3,7.03,2.76,5.3
DOG_0001,2025-02-07,2,Beagle,senior,False,False,normal,False,,11.74,70.3,6.66,2.61,5.6
DOG_0001,2025-02-08,2,Beagle,senior,False,False,normal,False,,11.72,68.2,6.98,2.8,5.4
DOG_0001,2025-02-09,2,Beagle,senior,False,False,normal,False,,11.93,69.8,6.71,2.66,5.6
DOG_0001,2025-02-10,2,Beagle,senior,False,False,normal,False,,11.46,70.9,6.62,2.56,5.6
DOG_0001,2025-02-11,2,Beagle,senior,False,False,normal,False,,11.88,71.2,7.14,2.72,5.5
DOG_0001,2025-02-12,2,Beagle,senior,False,False,normal,False,,11.63,71.2,6.94,2.69,5.0
DOG_0001,2025-02-13,2,Beagle,senior,False,False,normal,False,,11.87,72.3,6.87,2.72,5.3
DOG_0001,2025-02-14,2,Beagle,senior,False,False,boarding,True,systemic,,,,,
DOG_0001,2025-02-15,2,Beagle,senior,False,False,normal,False,,11.59,71.4,6.97,2.64,5.2
DOG_0001,2025-02-16,2,Beagle,senior,False,False,normal,False,,11.61,71.7,6.93,2.62,5.5
DOG_0001,2025-02-17,2,Beagle,senior,False,False,normal,False,,11.38,68.9,6.78,2.79,5.6
DOG_0001,2025-02-18,2,Beagle,senior,False,False,normal,False,,11.6,71.1,6.97,2.63,5.5
DOG_0001,2025-02-19,2,Beagle,senior,False,False,boarding,False,,9.29,62.9,4.35,2.78,5.0
DOG_0001,2025-02-20,2,Beagle,senior,False,False,normal,False,,11.59,72.4,6.94,2.61,5.3
DOG_0001,2025-02-21,2,Beagle,senior,False,False,normal,False,,11.62,72.5,6.94,2.81,5.3
DOG_0001,2025-02-22,2,Beagle,senior,False,False,travel,False,,9.95,87.3,4.75,2.62,5.5
DOG_0001,2025-02-23,2,Beagle,senior,False,False,normal,False,,11.34,73.8,6.83,2.68,5.2
DOG_0001,2025-02-24,2,Beagle,senior,False,False,normal,False,,11.66,73.3,6.96,2.73,5.3
DOG_0001,2025-02-25,2,Beagle,senior,False,False,normal,False,,11.61,71.9,6.87,2.78,5.4
DOG_0001,2025-02-26,2,Beagle,senior,False,False,normal,False,,11.68,70.3,7.09,2.8,5.6
DOG_0001,2025-02-27,2,Beagle,senior,False,False,boarding,True,systemic,,,,,
DOG_0001,2025-02-28,2,Beagle,senior,False,False,normal,False,,11.65,72.8,6.69,2.76,5.3
DOG_0001,2025-03-01,3,Beagle,senior,False,False,normal,False,,11.45,67.7,6.91,2.74,5.5
DOG_0001,2025-03-02,3,Beagle,senior,False,False,normal,False,,11.79,73.7,6.95,2.67,5.3
DOG_0001,2025-03-03,3,Beagle,senior,False,False,normal,False,,11.62,71.6,6.73,2.71,5.3
DOG_0001,2025-03-04,3,Beagle,senior,False,False,travel,False,,9.52,83.7,4.79,2.68,5.4
DOG_0001,2025-03-05,3,Beagle,senior,False,False,new_environment,False,,9.96,80.8,5.53,2.65,5.1
DOG_0001,2025-03-06,3,Beagle,senior,False,False,normal,False,,11.45,72.0,6.99,2.83,5.2
DOG_0001,2025-03-07,3,Beagle,senior,False,False,normal,False,,11.62,71.3,7.05,2.7,5.5
DOG_0001,2025-03-08,3,Beagle,senior,False,False,normal,False,,11.5,70.6,7.04,2.77,5.3
DOG_0001,2025-03-09,3,Beagle,senior,False,False,normal,False,,11.61,68.0,7.04,2.77,5.3
DOG_0001,2025-03-10,3,Beagle,senior,False,False,normal,False,,11.59,73.4,6.98,2.71,5.3
DOG_0001,2025-03-11,3,Beagle,senior,False,False,normal,False,,11.79,71.0,6.91,2.79,5.1
DOG_0001,2025-03-12,3,Beagle,senior,False,False,normal,False,,11.49,71.9,6.95,2.65,5.7
DOG_0001,2025-03-13,3,Beagle,senior,False,False,normal,False,,11.62,69.6,6.8,2.54,5.3
DOG_0001,2025-03-14,3,Beagle,senior,False,False,normal,False,,11.65,71.1,6.92,2.8,5.5
DOG_0001,2025-03-15,3,Beagle,senior,False,False,normal,False,,11.57,70.1,6.72,2.91,5.3
DOG_0001,2025-03-16,3,Beagle,senior,False,False,normal,False,,11.8,69.3,6.87,2.77,5.2
DOG_0001,2025-03-17,3,Beagle,senior,False,False,normal,False,,11.68,69.6,6.75,2.66,5.3
DOG_0001,2025-03-18,3,Beagle,senior,False,False,normal,False,,11.54,70.4,6.89,2.77,5.5
